Date,open,high,low,close,market_cap,lagged_open,lagged_close,log_price,pct_change,returns,log_returns,idx,stdev14,stdev30,stdev60,hvol14,hvol30,hvol60,variance14,variance30,variance60,sma_14,sma_28,sma_12,lagged_sma_12,ema_12,sma_26,lagged_sma_26,ema_26,rsi,macd,momentum,boll_bands_upper_band,boll_bands_lower_band
2013-04-30,144.0,146.93,134.05,139.0,1542813125,139.0,116.99,4.9344739331306915,-0.03908235272414373,-3.908235272414373,-0.03908235272414323,0,,,,,,,,,,,,,,139.0,,,139.0,35.54259043173862,0.0,21.019999999999996,,
2013-05-01,139.0,139.89,107.72,116.99,1298954594,116.38,105.21,4.76208846105951,-0.1723854720711815,-17.23854720711815,-0.1723854720711816,1,,,,,,,,,,,,,,,,,,35.54259043173862,,5.489999999999995,,
2013-05-02,116.38,125.6,92.28,105.21,1168517495,106.25,97.75,4.655958352820196,-0.10613010823931379,-10.61301082393138,-0.10613010823931378,2,,,,,,,,,,,,,,,,,,35.54259043173862,,-9.010000000000005,,
2013-05-03,106.25,108.13,79.1,97.75,1085995169,98.1,112.5,4.582413198865475,-0.07354515395472117,-7.3545153954721165,-0.07354515395472115,3,,,,,,,,,,,,,,,,,,35.54259043173862,,-21.010000000000005,,
2013-05-04,98.1,115.0,92.5,112.5,1250316563,112.9,115.91,4.722953221644475,0.14054002277899968,14.054002277899968,0.1405400227789997,4,,,,,,,,,,,,,,,,,,35.54259043173862,,-10.510000000000005,,
2013-05-05,112.9,118.8,107.14,115.91,1288693176,115.98,112.3,4.752814027900653,0.029860806256178485,2.9860806256178485,0.02986080625617888,5,,,,,,,,,,,,,,,,,,35.54259043173862,,-7.590000000000003,,
2013-05-06,115.98,124.66,106.64,112.3,1249023060,112.25,111.5,4.721173861744398,-0.03164016615625531,-3.164016615625531,-0.03164016615625618,6,,,,,,,,,,,,,,,,,,35.54259043173862,,-9.689999999999998,,
2013-05-07,112.25,113.44,97.7,111.5,1240593600,109.6,113.57,4.7140245909001735,-0.0071492708442244535,-0.7149270844224453,-0.007149270844224064,7,,,,,,,,,,,,,,,,,,35.54259043173862,,-10.5,,
2013-05-08,109.6,115.78,109.6,113.57,1264049202,113.2,112.67,4.732419386903555,0.01839479600338123,1.839479600338123,0.018394796003381404,8,,,,,,,,,,,,,,,,,,35.54259043173862,,-9.310000000000002,,
2013-05-09,113.2,113.46,109.26,112.67,1254535382,112.8,117.2,4.724463192176074,-0.007956194727480437,-0.7956194727480437,-0.007956194727480319,9,,,,,,,,,,,,,,,,,,35.54259043173862,,-11.219999999999999,,
