,BTC-returns,ETH-returns,IOTA-returns,EOS-returns
count,2346.0,1515.0,839.0,821.0
mean,0.1758,0.2755,-0.0949,0.131
std,4.3149,7.3145,7.8077,8.6324
min,-26.6198,-130.2106,-37.7046,-38.5044
25%,-1.2489,-2.4809,-3.7854,-3.4801
50%,0.1917,-0.0767,-0.3151,-0.182
75%,1.8468,2.903,3.5285,3.1482
max,35.7451,41.2337,38.3959,98.6998
kurtosis,7.6197,68.9531,4.224,22.8421
skew,-0.1778,-3.3963,0.157,2.1633
JB,5687.78,303042.6098,627.1712,18489.0051
Shapiro,0.8885,0.7932,0.9395,0.8476
p JB,0.0,0.0,0.0,0.0
p Shapiro,0.0,0.0,0.0,0.0
