,rank,mcs.pvalues
egarch-3-1-studentst,1,1.0
model5-drate-0.4-opt-rmsprop-egarch-1-1-studentst,2,0.0
model5-drate-0.5-opt-rmsprop-egarch-1-1-studentst,3,0.0
model2-drate-0.4-opt-rmsprop-egarch-1-1-studentst,4,0.0
model3-drate-0.4-opt-sgd-egarch-1-1-studentst,5,0.0
model2-drate-0.4-opt-sgd-egarch-1-1-studentst,6,0.0
model1-drate-0.4-opt-rmsprop-egarch-1-1-studentst,7,0.0
model3-drate-0.5-opt-sgd-egarch-3-1-studentst,8,0.0
model1-drate-0.5-opt-rmsprop-egarch-3-1-studentst,9,0.0
model3-drate-0.5-opt-rmsprop-egarch-3-1-studentst,10,0.0
model2-drate-0.5-opt-rmsprop-egarch-3-1-studentst,11,0.0
model3-drate-0.4-opt-rmsprop-egarch-3-1-studentst,12,0.0
model3-drate-0.4-opt-rmsprop-garch-3-1-normal,13,0.0
model1-drate-0.4-opt-sgd-egarch-1-1-studentst,14,0.0
model2-drate-0.5-opt-sgd-egarch-1-1-studentst,15,0.0
model3-drate-0.4-opt-sgd-garch-3-1-normal,16,0.0
model2-drate-0.4-opt-rmsprop-garch-1-1-normal,17,0.0
model5-drate-0.4-opt-rmsprop-garch-1-1-normal,18,0.0
model3-drate-0.5-opt-sgd-garch-1-1-normal,19,0.0
model4-drate-0.4-opt-rmsprop-garch-1-1-normal,20,0.0
model2-drate-0.5-opt-rmsprop-garch-1-1-normal,21,0.0
model1-drate-0.5-opt-sgd-garch-1-1-normal,22,0.0
model2-drate-0.4-opt-sgd-garch-1-1-normal,23,0.0
garch-1-1-normal,24,0.0
model1-drate-0.5-opt-rmsprop-garch-1-1-normal,25,0.0
model5-drate-0.5-opt-sgd-garch-1-1-normal,26,0.0
model4-drate-0.4-opt-sgd-egarch-1-1-studentst,27,0.0
model2-drate-0.5-opt-sgd-garch-1-1-normal,28,0.0
model1-drate-0.4-opt-sgd-garch-1-1-normal,29,0.0
model1-drate-0.5-opt-sgd-egarch-1-1-studentst,30,0.0
model4-drate-0.5-opt-rmsprop-garch-1-1-normal,31,0.0
model4-drate-0.4-opt-rmsprop-egarch-1-1-studentst,32,0.0
model5-drate-0.5-opt-rmsprop-garch-1-1-normal,33,0.0
model4-drate-0.5-opt-sgd-egarch-1-1-studentst,34,0.0
model4-drate-0.5-opt-rmsprop-egarch-1-1-studentst,35,0.0
model1-drate-0.4-opt-rmsprop-garch-1-1-normal,36,0.0
model3-drate-0.5-opt-rmsprop-garch-1-1-normal,37,0.0
model4-drate-0.5-opt-sgd-garch-1-1-normal,38,0.0
model4-drate-0.4-opt-sgd-garch-1-1-normal,39,0.0
