,rank,mcs.pvalues
model5-drate-0.4-opt-rmsprop-garch-1-1-normal,1,1.0
model4-drate-0.4-opt-rmsprop-garch-1-1-normal,2,0.6666666666666666
model5-drate-0.5-opt-rmsprop-arch-1-3-skewstudent,3,0.0
model4-drate-0.5-opt-sgd-arch-1-3-skewstudent,4,0.0
model5-drate-0.4-opt-rmsprop-arch-1-3-skewstudent,5,0.0
model4-drate-0.4-opt-sgd-garch-1-1-normal,6,0.0
model4-drate-0.4-opt-sgd-arch-1-3-skewstudent,7,0.0
model5-drate-0.5-opt-rmsprop-garch-1-1-normal,8,0.0
model2-drate-0.4-opt-sgd-arch-1-3-skewstudent,9,0.0
model4-drate-0.5-opt-rmsprop-garch-1-1-normal,10,0.0
model2-drate-0.5-opt-sgd-garch-1-1-normal,11,0.0
model3-drate-0.4-opt-sgd-garch-1-1-normal,12,0.0
model1-drate-0.4-opt-sgd-arch-1-3-skewstudent,13,0.0
model1-drate-0.5-opt-sgd-garch-1-1-normal,14,0.0
model3-drate-0.4-opt-sgd-arch-1-3-skewstudent,15,0.0
model4-drate-0.5-opt-rmsprop-arch-1-3-skewstudent,16,0.0
model3-drate-0.5-opt-sgd-garch-1-1-normal,17,0.0
model4-drate-0.4-opt-rmsprop-arch-1-3-skewstudent,18,0.0
model2-drate-0.5-opt-sgd-arch-1-3-skewstudent,19,0.0
model4-drate-0.5-opt-sgd-garch-1-1-normal,20,0.0
model1-drate-0.5-opt-sgd-arch-1-3-skewstudent,21,0.0
model2-drate-0.4-opt-sgd-garch-1-1-normal,22,0.0
model3-drate-0.4-opt-rmsprop-garch-1-1-normal,23,0.0
model3-drate-0.5-opt-sgd-arch-1-3-skewstudent,24,0.0
model1-drate-0.4-opt-sgd-garch-1-1-normal,25,0.0
model2-drate-0.4-opt-rmsprop-garch-1-1-normal,26,0.0
model3-drate-0.5-opt-rmsprop-garch-1-1-normal,27,0.0
model1-drate-0.4-opt-rmsprop-garch-1-1-normal,28,0.0
model1-drate-0.4-opt-rmsprop-arch-1-3-skewstudent,29,0.0
model2-drate-0.5-opt-rmsprop-arch-1-3-skewstudent,30,0.0
model3-drate-0.4-opt-rmsprop-arch-1-3-skewstudent,31,0.0
model2-drate-0.4-opt-rmsprop-arch-1-3-skewstudent,32,0.0
model1-drate-0.5-opt-rmsprop-garch-1-1-normal,33,0.0
model1-drate-0.5-opt-rmsprop-arch-1-3-skewstudent,34,0.0
model2-drate-0.5-opt-rmsprop-garch-1-1-normal,35,0.0
model3-drate-0.5-opt-rmsprop-arch-1-3-skewstudent,36,0.0
arch-1-3-skewstudent,37,0.0
garch-1-1-normal,38,0.0
