,rank,mcs.pvalues
garch-1-1-normal,1,1.0
model5-drate-0.4-opt-rmsprop-garch-1-1-normal,2,1.0
model2-drate-0.4-opt-rmsprop-garch-1-1-normal,3,1.0
model1-drate-0.4-opt-rmsprop-egarch-1-1-studentst,4,0.6666666666666666
egarch-1-1-studentst,5,0.0
model1-drate-0.5-opt-rmsprop-egarch-1-1-studentst,6,0.0
model5-drate-0.5-opt-rmsprop-garch-1-1-normal,7,0.0
model4-drate-0.5-opt-rmsprop-egarch-1-1-studentst,8,0.0
model1-drate-0.4-opt-sgd-garch-1-1-normal,9,0.0
model3-drate-0.5-opt-sgd-garch-1-1-normal,10,0.0
model5-drate-0.5-opt-rmsprop-egarch-1-1-studentst,11,0.0
model3-drate-0.4-opt-sgd-egarch-1-1-studentst,12,0.0
model5-drate-0.4-opt-rmsprop-egarch-1-1-studentst,13,0.0
model2-drate-0.5-opt-rmsprop-garch-1-1-normal,14,0.0
model3-drate-0.4-opt-sgd-garch-1-1-normal,15,0.0
model4-drate-0.4-opt-sgd-garch-1-1-normal,16,0.0
model1-drate-0.4-opt-rmsprop-garch-1-1-normal,17,0.0
model2-drate-0.5-opt-rmsprop-egarch-1-1-studentst,18,0.0
model2-drate-0.4-opt-rmsprop-egarch-1-1-studentst,19,0.0
model4-drate-0.5-opt-sgd-garch-1-1-normal,20,0.0
model4-drate-0.5-opt-rmsprop-garch-1-1-normal,21,0.0
model3-drate-0.5-opt-sgd-egarch-1-1-studentst,22,0.0
model2-drate-0.4-opt-sgd-garch-1-1-normal,23,0.0
model5-drate-0.4-opt-sgd-garch-1-1-normal,24,0.0
model4-drate-0.4-opt-rmsprop-egarch-1-1-studentst,25,0.0
model3-drate-0.5-opt-rmsprop-egarch-1-1-studentst,26,0.0
model3-drate-0.5-opt-rmsprop-garch-1-1-normal,27,0.0
model4-drate-0.4-opt-rmsprop-garch-1-1-normal,28,0.0
model4-drate-0.4-opt-sgd-egarch-1-1-studentst,29,0.0
model3-drate-0.4-opt-rmsprop-garch-1-1-normal,30,0.0
model1-drate-0.5-opt-rmsprop-garch-1-1-normal,31,0.0
model3-drate-0.4-opt-rmsprop-egarch-1-1-studentst,32,0.0
model4-drate-0.5-opt-sgd-egarch-1-1-studentst,33,0.0
model1-drate-0.5-opt-sgd-garch-1-1-normal,34,0.0
model2-drate-0.5-opt-sgd-egarch-1-1-studentst,35,0.0
model5-drate-0.5-opt-sgd-garch-1-1-normal,36,0.0
model1-drate-0.5-opt-sgd-egarch-1-1-studentst,37,0.0
model1-drate-0.4-opt-sgd-egarch-1-1-studentst,38,0.0
