,rank,mcs.pvalues
BTC-model-56,1,1.0
BTC-model-59,2,0.0
BTC-model-65,3,0.0
BTC-model-55,4,0.0
BTC-model-62,5,0.0
BTC-model-80,6,0.0
BTC-model-71,7,0.0
BTC-model-68,8,0.0
BTC-model-77,9,0.0
BTC-model-74,10,0.0
BTC-model-67,11,0.0
BTC-model-70,12,0.0
BTC-model-58,13,0.0
BTC-model-61,14,0.0
BTC-model-73,15,0.0
BTC-model-76,16,0.0
BTC-model-64,17,0.0
BTC-model-79,18,0.0
BTC-model-78,19,0.0
BTC-model-48,20,0.0
BTC-model-25,21,0.0
BTC-model-16,22,0.0
BTC-model-22,23,0.0
BTC-model-13,24,0.0
BTC-model-10,25,0.0
BTC-model-19,26,0.0
BTC-model-8,27,0.0
BTC-model-5,28,0.0
BTC-model-17,29,0.0
BTC-model-2,30,0.0
BTC-model-14,31,0.0
BTC-model-50,32,0.0
BTC-model-11,33,0.0
BTC-model-43,34,0.0
BTC-model-45,35,0.0
BTC-model-7,36,0.0
BTC-model-4,37,0.0
BTC-model-40,38,0.0
BTC-model-1,39,0.0
BTC-model-69,40,0.0
BTC-model-49,41,0.0
BTC-model-27,42,0.0
BTC-model-29,43,0.0
BTC-model-39,44,0.0
BTC-model-33,45,0.0
BTC-model-41,46,0.0
BTC-model-57,47,0.0
BTC-model-32,48,0.0
BTC-model-34,49,0.0
BTC-model-36,50,0.0
BTC-model-31,51,0.0
BTC-model-51,52,0.0
BTC-model-46,53,0.0
BTC-model-60,54,0.0
BTC-model-42,55,0.0
BTC-model-15,56,0.0
BTC-model-66,57,0.0
BTC-model-12,58,0.0
BTC-model-37,59,0.0
BTC-model-9,60,0.0
BTC-model-63,61,0.0
BTC-model-54,62,0.0
BTC-model-75,63,0.0
BTC-model-38,64,0.0
BTC-model-30,65,0.0
BTC-model-53,66,0.0
BTC-model-44,67,0.0
BTC-model-28,68,0.0
BTC-model-47,69,0.0
BTC-model-52,70,0.0
BTC-model-26,71,0.0
BTC-model-35,72,0.0
BTC-model-23,73,0.0
BTC-model-6,74,0.0
BTC-model-20,75,0.0
BTC-model-24,76,0.0
BTC-model-21,77,0.0
BTC-model-3,78,0.0
BTC-model-72,79,0.0
BTC-model-0,80,0.0
BTC-model-18,81,0.0
