,rank,mcs.pvalues
IOTA-model-8,1,1.0
IOTA-model-5,2,0.0
IOTA-model-2,3,0.0
IOTA-model-7,4,0.0
IOTA-model-4,5,0.0
IOTA-model-1,6,0.0
IOTA-model-16,7,0.0
IOTA-model-13,8,0.0
IOTA-model-10,9,0.0
IOTA-model-17,10,0.0
IOTA-model-14,11,0.0
IOTA-model-11,12,0.0
IOTA-model-6,13,0.0
IOTA-model-3,14,0.0
IOTA-model-0,15,0.0
IOTA-model-26,16,0.0
IOTA-model-23,17,0.0
IOTA-model-20,18,0.0
IOTA-model-15,19,0.0
IOTA-model-12,20,0.0
IOTA-model-9,21,0.0
IOTA-model-25,22,0.0
IOTA-model-22,23,0.0
IOTA-model-19,24,0.0
IOTA-model-77,25,0.0
IOTA-model-24,26,0.0
IOTA-model-21,27,0.0
IOTA-model-18,28,0.0
IOTA-model-65,29,0.0
IOTA-model-75,30,0.0
IOTA-model-67,31,0.0
IOTA-model-55,32,0.0
IOTA-model-73,33,0.0
IOTA-model-66,34,0.0
IOTA-model-54,35,0.0
IOTA-model-71,36,0.0
IOTA-model-79,37,0.0
IOTA-model-62,38,0.0
IOTA-model-74,39,0.0
IOTA-model-59,40,0.0
IOTA-model-64,41,0.0
IOTA-model-76,42,0.0
IOTA-model-80,43,0.0
IOTA-model-31,44,0.0
IOTA-model-78,45,0.0
IOTA-model-68,46,0.0
IOTA-model-32,47,0.0
IOTA-model-50,48,0.0
IOTA-model-69,49,0.0
IOTA-model-44,50,0.0
IOTA-model-72,51,0.0
IOTA-model-28,52,0.0
IOTA-model-56,53,0.0
IOTA-model-58,54,0.0
IOTA-model-57,55,0.0
IOTA-model-34,56,0.0
IOTA-model-70,57,0.0
IOTA-model-35,58,0.0
IOTA-model-60,59,0.0
IOTA-model-46,60,0.0
IOTA-model-51,61,0.0
IOTA-model-38,62,0.0
IOTA-model-30,63,0.0
IOTA-model-61,64,0.0
IOTA-model-36,65,0.0
IOTA-model-47,66,0.0
IOTA-model-52,67,0.0
IOTA-model-33,68,0.0
IOTA-model-53,69,0.0
IOTA-model-43,70,0.0
IOTA-model-49,71,0.0
IOTA-model-37,72,0.0
IOTA-model-29,73,0.0
IOTA-model-41,74,0.0
IOTA-model-42,75,0.0
IOTA-model-48,76,0.0
IOTA-model-45,77,0.0
IOTA-model-40,78,0.0
IOTA-model-39,79,0.0
IOTA-model-63,80,0.0
IOTA-model-27,81,0.0
