,rank,mcs.pvalues
model5-drate-0.4-opt-rmsprop-garch-1-1-normal,1,1.0
model4-drate-0.4-opt-rmsprop-garch-1-1-normal,2,0.7
model5-drate-0.5-opt-rmsprop-arch-1-3-skewstudent,3,0.03333333333333333
model4-drate-0.5-opt-sgd-arch-1-3-skewstudent,4,0.0
model5-drate-0.4-opt-rmsprop-arch-1-3-skewstudent,5,0.0
model4-drate-0.4-opt-sgd-garch-1-1-normal,6,0.0
model4-drate-0.4-opt-sgd-arch-1-3-skewstudent,7,0.0
model5-drate-0.5-opt-rmsprop-garch-1-1-normal,8,0.0
model4-drate-0.5-opt-rmsprop-garch-1-1-normal,9,0.0
model2-drate-0.4-opt-sgd-arch-1-3-skewstudent,10,0.0
model3-drate-0.4-opt-sgd-garch-1-1-normal,11,0.0
model3-drate-0.5-opt-sgd-arch-1-3-skewstudent,12,0.0
model4-drate-0.5-opt-rmsprop-arch-1-3-skewstudent,13,0.0
model3-drate-0.4-opt-sgd-arch-1-3-skewstudent,14,0.0
model4-drate-0.4-opt-rmsprop-arch-1-3-skewstudent,15,0.0
model2-drate-0.5-opt-sgd-garch-1-1-normal,16,0.0
model1-drate-0.4-opt-sgd-arch-1-3-skewstudent,17,0.0
model3-drate-0.5-opt-sgd-garch-1-1-normal,18,0.0
model4-drate-0.5-opt-sgd-garch-1-1-normal,19,0.0
model3-drate-0.4-opt-rmsprop-garch-1-1-normal,20,0.0
model1-drate-0.5-opt-sgd-garch-1-1-normal,21,0.0
model2-drate-0.5-opt-sgd-arch-1-3-skewstudent,22,0.0
model1-drate-0.5-opt-sgd-arch-1-3-skewstudent,23,0.0
model2-drate-0.4-opt-sgd-garch-1-1-normal,24,0.0
model3-drate-0.5-opt-rmsprop-garch-1-1-normal,25,0.0
model3-drate-0.4-opt-rmsprop-arch-1-3-skewstudent,26,0.0
model1-drate-0.4-opt-sgd-garch-1-1-normal,27,0.0
model1-drate-0.4-opt-rmsprop-garch-1-1-normal,28,0.0
model1-drate-0.4-opt-rmsprop-arch-1-3-skewstudent,29,0.0
model2-drate-0.4-opt-rmsprop-garch-1-1-normal,30,0.0
model3-drate-0.5-opt-rmsprop-arch-1-3-skewstudent,31,0.0
model2-drate-0.4-opt-rmsprop-arch-1-3-skewstudent,32,0.0
model2-drate-0.5-opt-rmsprop-arch-1-3-skewstudent,33,0.0
model2-drate-0.5-opt-rmsprop-garch-1-1-normal,34,0.0
garch-1-1-normal,35,0.0
model1-drate-0.5-opt-rmsprop-garch-1-1-normal,36,0.0
model1-drate-0.5-opt-rmsprop-arch-1-3-skewstudent,37,0.0
arch-1-3-skewstudent,38,0.0
