,rank,mcs.pvalues
garch-1-1-normal,1,1.0
model5-drate-0.4-opt-rmsprop-garch-1-1-normal,2,1.0
model2-drate-0.4-opt-rmsprop-garch-1-1-normal,3,0.9666666666666667
model1-drate-0.4-opt-rmsprop-egarch-1-1-studentst,4,0.8
egarch-1-1-studentst,5,0.4666666666666667
model1-drate-0.4-opt-sgd-garch-1-1-normal,6,0.26666666666666666
model5-drate-0.5-opt-rmsprop-garch-1-1-normal,7,0.23333333333333334
model1-drate-0.5-opt-rmsprop-egarch-1-1-studentst,8,0.16666666666666666
model5-drate-0.5-opt-rmsprop-egarch-1-1-studentst,9,0.16666666666666666
model4-drate-0.5-opt-rmsprop-egarch-1-1-studentst,10,0.03333333333333333
model5-drate-0.4-opt-rmsprop-egarch-1-1-studentst,11,0.03333333333333333
model3-drate-0.5-opt-sgd-garch-1-1-normal,12,0.03333333333333333
model2-drate-0.5-opt-rmsprop-egarch-1-1-studentst,13,0.03333333333333333
model2-drate-0.5-opt-rmsprop-garch-1-1-normal,14,0.03333333333333333
model1-drate-0.4-opt-rmsprop-garch-1-1-normal,15,0.03333333333333333
model4-drate-0.4-opt-sgd-garch-1-1-normal,16,0.03333333333333333
model3-drate-0.4-opt-sgd-egarch-1-1-studentst,17,0.03333333333333333
model2-drate-0.4-opt-sgd-garch-1-1-normal,18,0.03333333333333333
model3-drate-0.5-opt-rmsprop-egarch-1-1-studentst,19,0.03333333333333333
model4-drate-0.5-opt-sgd-garch-1-1-normal,20,0.03333333333333333
model3-drate-0.4-opt-sgd-garch-1-1-normal,21,0.03333333333333333
model5-drate-0.4-opt-sgd-garch-1-1-normal,22,0.03333333333333333
model4-drate-0.4-opt-rmsprop-egarch-1-1-studentst,23,0.03333333333333333
model2-drate-0.4-opt-rmsprop-egarch-1-1-studentst,24,0.03333333333333333
model4-drate-0.4-opt-sgd-egarch-1-1-studentst,25,0.03333333333333333
model4-drate-0.4-opt-rmsprop-garch-1-1-normal,26,0.03333333333333333
model1-drate-0.5-opt-rmsprop-garch-1-1-normal,27,0.03333333333333333
model4-drate-0.5-opt-sgd-egarch-1-1-studentst,28,0.03333333333333333
model4-drate-0.5-opt-rmsprop-garch-1-1-normal,29,0.03333333333333333
model3-drate-0.5-opt-sgd-egarch-1-1-studentst,30,0.03333333333333333
model3-drate-0.5-opt-rmsprop-garch-1-1-normal,31,0.0
model1-drate-0.4-opt-sgd-egarch-1-1-studentst,32,0.0
model1-drate-0.5-opt-sgd-garch-1-1-normal,33,0.0
model3-drate-0.4-opt-rmsprop-egarch-1-1-studentst,34,0.0
model3-drate-0.4-opt-rmsprop-garch-1-1-normal,35,0.0
model2-drate-0.5-opt-sgd-egarch-1-1-studentst,36,0.0
model1-drate-0.5-opt-sgd-egarch-1-1-studentst,37,0.0
model5-drate-0.5-opt-sgd-garch-1-1-normal,38,0.0
