,rank,mcs.pvalues
BTC-model-56,1,1.0
BTC-model-59,2,0.03333333333333333
BTC-model-62,3,0.03333333333333333
BTC-model-55,4,0.0
BTC-model-71,5,0.0
BTC-model-65,6,0.0
BTC-model-68,7,0.0
BTC-model-77,8,0.0
BTC-model-80,9,0.0
BTC-model-74,10,0.0
BTC-model-79,11,0.0
BTC-model-76,12,0.0
BTC-model-58,13,0.0
BTC-model-73,14,0.0
BTC-model-61,15,0.0
BTC-model-70,16,0.0
BTC-model-67,17,0.0
BTC-model-64,18,0.0
BTC-model-6,19,0.0
BTC-model-3,20,0.0
BTC-model-0,21,0.0
BTC-model-15,22,0.0
BTC-model-12,23,0.0
BTC-model-9,24,0.0
BTC-model-7,25,0.0
BTC-model-4,26,0.0
BTC-model-1,27,0.0
BTC-model-16,28,0.0
BTC-model-13,29,0.0
BTC-model-8,30,0.0
BTC-model-5,31,0.0
BTC-model-10,32,0.0
BTC-model-2,33,0.0
BTC-model-17,34,0.0
BTC-model-14,35,0.0
BTC-model-11,36,0.0
BTC-model-36,37,0.0
BTC-model-24,38,0.0
BTC-model-27,39,0.0
BTC-model-45,40,0.0
BTC-model-21,41,0.0
BTC-model-18,42,0.0
BTC-model-25,43,0.0
BTC-model-22,44,0.0
BTC-model-19,45,0.0
BTC-model-26,46,0.0
BTC-model-23,47,0.0
BTC-model-38,48,0.0
BTC-model-39,49,0.0
BTC-model-20,50,0.0
BTC-model-29,51,0.0
BTC-model-48,52,0.0
BTC-model-47,53,0.0
BTC-model-30,54,0.0
BTC-model-46,55,0.0
BTC-model-28,56,0.0
BTC-model-37,57,0.0
BTC-model-42,58,0.0
BTC-model-51,59,0.0
BTC-model-33,60,0.0
BTC-model-54,61,0.0
BTC-model-72,62,0.0
BTC-model-63,63,0.0
BTC-model-60,64,0.0
BTC-model-57,65,0.0
BTC-model-75,66,0.0
BTC-model-78,67,0.0
BTC-model-41,68,0.0
BTC-model-66,69,0.0
BTC-model-32,70,0.0
BTC-model-69,71,0.0
BTC-model-50,72,0.0
BTC-model-31,73,0.0
BTC-model-40,74,0.0
BTC-model-49,75,0.0
BTC-model-53,76,0.0
BTC-model-35,77,0.0
BTC-model-44,78,0.0
BTC-model-34,79,0.0
BTC-model-43,80,0.0
BTC-model-52,81,0.0
