,rank,mcs.pvalues
EOS-model-73,1,1.0
EOS-model-74,2,0.03333333333333333
EOS-model-64,3,0.03333333333333333
EOS-model-80,4,0.03333333333333333
EOS-model-65,5,0.03333333333333333
EOS-model-79,6,0.03333333333333333
EOS-model-61,7,0.03333333333333333
EOS-model-55,8,0.03333333333333333
EOS-model-58,9,0.03333333333333333
EOS-model-67,10,0.03333333333333333
EOS-model-70,11,0.03333333333333333
EOS-model-56,12,0.03333333333333333
EOS-model-62,13,0.03333333333333333
EOS-model-59,14,0.03333333333333333
EOS-model-68,15,0.03333333333333333
EOS-model-71,16,0.03333333333333333
EOS-model-76,17,0.03333333333333333
EOS-model-77,18,0.03333333333333333
EOS-model-24,19,0.03333333333333333
EOS-model-21,20,0.0
EOS-model-18,21,0.0
EOS-model-17,22,0.0
EOS-model-25,23,0.0
EOS-model-14,24,0.0
EOS-model-22,25,0.0
EOS-model-19,26,0.0
EOS-model-11,27,0.0
EOS-model-26,28,0.0
EOS-model-23,29,0.0
EOS-model-20,30,0.0
EOS-model-16,31,0.0
EOS-model-13,32,0.0
EOS-model-10,33,0.0
EOS-model-15,34,0.0
EOS-model-12,35,0.0
EOS-model-9,36,0.0
EOS-model-6,37,0.0
EOS-model-3,38,0.0
EOS-model-7,39,0.0
EOS-model-0,40,0.0
EOS-model-4,41,0.0
EOS-model-1,42,0.0
EOS-model-8,43,0.0
EOS-model-5,44,0.0
EOS-model-2,45,0.0
EOS-model-72,46,0.0
EOS-model-32,47,0.0
EOS-model-29,48,0.0
EOS-model-35,49,0.0
EOS-model-34,50,0.0
EOS-model-28,51,0.0
EOS-model-31,52,0.0
EOS-model-38,53,0.0
EOS-model-37,54,0.0
EOS-model-43,55,0.0
EOS-model-47,56,0.0
EOS-model-46,57,0.0
EOS-model-63,58,0.0
EOS-model-78,59,0.0
EOS-model-57,60,0.0
EOS-model-54,61,0.0
EOS-model-41,62,0.0
EOS-model-50,63,0.0
EOS-model-44,64,0.0
EOS-model-66,65,0.0
EOS-model-52,66,0.0
EOS-model-53,67,0.0
EOS-model-49,68,0.0
EOS-model-40,69,0.0
EOS-model-60,70,0.0
EOS-model-36,71,0.0
EOS-model-51,72,0.0
EOS-model-45,73,0.0
EOS-model-48,74,0.0
EOS-model-39,75,0.0
EOS-model-42,76,0.0
EOS-model-27,77,0.0
EOS-model-33,78,0.0
EOS-model-30,79,0.0
EOS-model-69,80,0.0
EOS-model-75,81,0.0
