,rank,mcs.pvalues
ETH-model-55,1,1.0
ETH-model-56,2,0.3
ETH-model-58,3,0.2
ETH-model-61,4,0.06666666666666667
ETH-model-73,5,0.06666666666666667
ETH-model-67,6,0.06666666666666667
ETH-model-76,7,0.06666666666666667
ETH-model-59,8,0.06666666666666667
ETH-model-64,9,0.06666666666666667
ETH-model-74,10,0.06666666666666667
ETH-model-77,11,0.06666666666666667
ETH-model-68,12,0.06666666666666667
ETH-model-17,13,0.03333333333333333
ETH-model-62,14,0.03333333333333333
ETH-model-70,15,0.0
ETH-model-65,16,0.0
ETH-model-14,17,0.0
ETH-model-71,18,0.0
ETH-model-11,19,0.0
ETH-model-26,20,0.0
ETH-model-23,21,0.0
ETH-model-20,22,0.0
ETH-model-16,23,0.0
ETH-model-13,24,0.0
ETH-model-79,25,0.0
ETH-model-80,26,0.0
ETH-model-10,27,0.0
ETH-model-8,28,0.0
ETH-model-5,29,0.0
ETH-model-25,30,0.0
ETH-model-22,31,0.0
ETH-model-19,32,0.0
ETH-model-2,33,0.0
ETH-model-7,34,0.0
ETH-model-4,35,0.0
ETH-model-1,36,0.0
ETH-model-6,37,0.0
ETH-model-3,38,0.0
ETH-model-0,39,0.0
ETH-model-15,40,0.0
ETH-model-12,41,0.0
ETH-model-9,42,0.0
ETH-model-24,43,0.0
ETH-model-21,44,0.0
ETH-model-18,45,0.0
ETH-model-29,46,0.0
ETH-model-38,47,0.0
ETH-model-47,48,0.0
ETH-model-46,49,0.0
ETH-model-28,50,0.0
ETH-model-37,51,0.0
ETH-model-41,52,0.0
ETH-model-32,53,0.0
ETH-model-50,54,0.0
ETH-model-44,55,0.0
ETH-model-35,56,0.0
ETH-model-27,57,0.0
ETH-model-53,58,0.0
ETH-model-36,59,0.0
ETH-model-45,60,0.0
ETH-model-49,61,0.0
ETH-model-40,62,0.0
ETH-model-31,63,0.0
ETH-model-43,64,0.0
ETH-model-34,65,0.0
ETH-model-52,66,0.0
ETH-model-39,67,0.0
ETH-model-48,68,0.0
ETH-model-30,69,0.0
ETH-model-54,70,0.0
ETH-model-33,71,0.0
ETH-model-42,72,0.0
ETH-model-51,73,0.0
ETH-model-57,74,0.0
ETH-model-72,75,0.0
ETH-model-66,76,0.0
ETH-model-60,77,0.0
ETH-model-75,78,0.0
ETH-model-69,79,0.0
ETH-model-63,80,0.0
ETH-model-78,81,0.0
