,rank,mcs.pvalues
IOTA-model-8,1,1.0
IOTA-model-5,2,0.0
IOTA-model-2,3,0.0
IOTA-model-7,4,0.0
IOTA-model-4,5,0.0
IOTA-model-1,6,0.0
IOTA-model-16,7,0.0
IOTA-model-13,8,0.0
IOTA-model-10,9,0.0
IOTA-model-6,10,0.0
IOTA-model-17,11,0.0
IOTA-model-14,12,0.0
IOTA-model-11,13,0.0
IOTA-model-3,14,0.0
IOTA-model-0,15,0.0
IOTA-model-15,16,0.0
IOTA-model-12,17,0.0
IOTA-model-9,18,0.0
IOTA-model-25,19,0.0
IOTA-model-22,20,0.0
IOTA-model-19,21,0.0
IOTA-model-26,22,0.0
IOTA-model-23,23,0.0
IOTA-model-20,24,0.0
IOTA-model-24,25,0.0
IOTA-model-21,26,0.0
IOTA-model-18,27,0.0
IOTA-model-74,28,0.0
IOTA-model-77,29,0.0
IOTA-model-73,30,0.0
IOTA-model-76,31,0.0
IOTA-model-56,32,0.0
IOTA-model-80,33,0.0
IOTA-model-55,34,0.0
IOTA-model-79,35,0.0
IOTA-model-59,36,0.0
IOTA-model-58,37,0.0
IOTA-model-68,38,0.0
IOTA-model-67,39,0.0
IOTA-model-65,40,0.0
IOTA-model-64,41,0.0
IOTA-model-71,42,0.0
IOTA-model-70,43,0.0
IOTA-model-62,44,0.0
IOTA-model-61,45,0.0
IOTA-model-54,46,0.0
IOTA-model-75,47,0.0
IOTA-model-72,48,0.0
IOTA-model-36,49,0.0
IOTA-model-27,50,0.0
IOTA-model-45,51,0.0
IOTA-model-63,52,0.0
IOTA-model-57,53,0.0
IOTA-model-66,54,0.0
IOTA-model-48,55,0.0
IOTA-model-78,56,0.0
IOTA-model-30,57,0.0
IOTA-model-39,58,0.0
IOTA-model-60,59,0.0
IOTA-model-69,60,0.0
IOTA-model-33,61,0.0
IOTA-model-51,62,0.0
IOTA-model-42,63,0.0
IOTA-model-47,64,0.0
IOTA-model-29,65,0.0
IOTA-model-38,66,0.0
IOTA-model-37,67,0.0
IOTA-model-46,68,0.0
IOTA-model-28,69,0.0
IOTA-model-50,70,0.0
IOTA-model-32,71,0.0
IOTA-model-41,72,0.0
IOTA-model-49,73,0.0
IOTA-model-31,74,0.0
IOTA-model-40,75,0.0
IOTA-model-35,76,0.0
IOTA-model-44,77,0.0
IOTA-model-53,78,0.0
IOTA-model-34,79,0.0
IOTA-model-43,80,0.0
IOTA-model-52,81,0.0
