,crypto,ann_model,n_layers,drop_rate,optimizer,ann_mse_in,ann_mse_out,best_model_ts_or_ann,test_size,ts_model,ts_dist,ts_p,ts_q,ts_mse_in,ts_mse_out
0,BTC,model1,4,0.4,sgd,0.13528123724236796,0.07471025983492534,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
1,BTC,model2,3,0.4,sgd,0.12446773410473926,0.05211516520703339,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
2,BTC,model3,3,0.4,sgd,0.015453502350686862,0.031497180007529706,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
3,BTC,model4,3,0.4,sgd,0.011488659619001444,0.038282201927624,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
4,BTC,model5,2,0.4,sgd,,,TS,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
5,BTC,model1,4,0.5,sgd,0.23651571543079872,0.0764061479724401,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
6,BTC,model2,3,0.5,sgd,0.3309938137258559,0.11461421679582028,TS,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
7,BTC,model3,3,0.5,sgd,0.016856459603495258,0.03136004122420241,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
8,BTC,model4,3,0.5,sgd,0.08241989363235853,0.11069434298979526,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
9,BTC,model5,2,0.5,sgd,,,TS,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
10,BTC,model1,4,0.4,rmsprop,0.13226347543506958,0.08169744343026059,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
11,BTC,model2,3,0.4,rmsprop,0.19617307261619893,0.10711061217663831,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
12,BTC,model3,3,0.4,rmsprop,0.05795919862208134,0.06621213609282807,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
13,BTC,model4,3,0.4,rmsprop,0.034502504572420406,0.06642373810803917,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
14,BTC,model5,2,0.4,rmsprop,0.032816513131533595,0.023591086638486938,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
15,BTC,model1,4,0.5,rmsprop,0.2617171234428093,0.1637563616629468,TS,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
16,BTC,model2,3,0.5,rmsprop,0.2794006723902342,0.1684472101676806,TS,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
17,BTC,model3,3,0.5,rmsprop,0.1283286896995554,0.12148820018399893,TS,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
18,BTC,model4,3,0.5,rmsprop,0.08241209327713815,0.04964585242501026,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
19,BTC,model5,2,0.5,rmsprop,0.046306908224755104,0.033040378201613096,ANN,453,EGARCH,skewstudent,1,1,0.17006996217687265,0.11088160595021697
20,BTC,model1,4,0.4,sgd,0.1537379034828808,0.08013299785176123,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
21,BTC,model2,3,0.4,sgd,0.1873198017294913,0.07424226962441113,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
22,BTC,model3,3,0.4,sgd,0.012369958352151496,0.020779423489673248,ANN,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
23,BTC,model4,3,0.4,sgd,0.021939440637061703,0.03716584678254117,ANN,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
24,BTC,model5,2,0.4,sgd,,,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
25,BTC,model1,4,0.5,sgd,0.2157992424437193,0.11010695533378762,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
26,BTC,model2,3,0.5,sgd,0.22289201809933654,0.11545218550343124,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
27,BTC,model3,3,0.5,sgd,0.01828544705176406,0.02983194073172858,ANN,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
28,BTC,model4,3,0.5,sgd,0.06960720599288031,0.051084093650839976,ANN,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
29,BTC,model5,2,0.5,sgd,,,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
30,BTC,model1,4,0.4,rmsprop,0.15255741652282298,0.09210407306290094,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
31,BTC,model2,3,0.4,rmsprop,0.17757717446253848,0.10640573698953287,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
32,BTC,model3,3,0.4,rmsprop,0.0455005193342085,0.07402516033081029,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
33,BTC,model4,3,0.4,rmsprop,0.027682789348370294,0.04881761423733587,ANN,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
34,BTC,model5,2,0.4,rmsprop,0.014525665580832427,0.02087846403287736,ANN,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
35,BTC,model1,4,0.5,rmsprop,0.23831186540813604,0.12869252780941676,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
36,BTC,model2,3,0.5,rmsprop,0.1905124133744872,0.08189351258030528,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
37,BTC,model3,3,0.5,rmsprop,0.08618242779416498,0.059423382182258115,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
38,BTC,model4,3,0.5,rmsprop,0.06434982825144672,0.061294287706316175,TS,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
39,BTC,model5,2,0.5,rmsprop,0.01677526363435452,0.013448568887465836,ANN,453,GARCH,normal,1,1,0.10452029821701468,0.05632785109799584
40,EOS,model1,4,0.4,sgd,0.17452713289669344,0.18972007051998416,TS,453,EGARCH,studentst,1,1,0.2469916573796168,0.06209331630352747
