,volatility_model,mean_model,dist,p,q,AIC_score,BIC_score,LL_score
0,ARCH,ConstantMean,normal,1,1,13246.030275203533,13263.311676291174,-6620.015137601767
1,ARCH,ConstantMean,studentst,1,1,12455.57059597965,12478.612464096504,-6223.785297989825
2,ARCH,ConstantMean,skewstudent,1,1,12455.97416886858,12484.776504014648,-6222.98708443429
3,ARCH,ConstantMean,normal,1,2,13246.030275203533,13263.311676291174,-6620.015137601767
4,ARCH,ConstantMean,studentst,1,2,12455.57059597965,12478.612464096504,-6223.785297989825
5,ARCH,ConstantMean,skewstudent,1,2,12455.97416886858,12484.776504014648,-6222.98708443429
6,ARCH,ConstantMean,normal,1,3,13246.030275203533,13263.311676291174,-6620.015137601767
7,ARCH,ConstantMean,studentst,1,3,12455.57059597965,12478.612464096504,-6223.785297989825
8,ARCH,ConstantMean,skewstudent,1,3,12455.97416886858,12484.776504014648,-6222.98708443429
9,ARCH,ConstantMean,normal,2,1,13096.420192075651,13119.462060192505,-6544.210096037826
10,ARCH,ConstantMean,studentst,2,1,12370.914152967367,12399.716488113434,-6180.4570764836835
11,ARCH,ConstantMean,skewstudent,2,1,12371.478768267636,12406.041570442916,-6179.739384133818
12,ARCH,ConstantMean,normal,2,2,13096.420192075651,13119.462060192505,-6544.210096037826
13,ARCH,ConstantMean,studentst,2,2,12370.914152967367,12399.716488113434,-6180.4570764836835
14,ARCH,ConstantMean,skewstudent,2,2,12371.478768267636,12406.041570442916,-6179.739384133818
15,ARCH,ConstantMean,normal,2,3,13096.420192075651,13119.462060192505,-6544.210096037826
16,ARCH,ConstantMean,studentst,2,3,12370.914152967367,12399.716488113434,-6180.4570764836835
17,ARCH,ConstantMean,skewstudent,2,3,12371.478768267636,12406.041570442916,-6179.739384133818
18,ARCH,ConstantMean,normal,3,1,13033.476276298574,13062.27861144464,-6511.738138149287
19,ARCH,ConstantMean,studentst,3,1,12311.828537391568,12346.391339566848,-6149.914268695784
