,volatility_model,mean_model,dist,p,q,AIC_score,BIC_score,LL_score
0,ARCH,ConstantMean,normal,1,1,-8359.390279767278,-8342.110157724637,4182.695139883639
1,ARCH,ConstantMean,studentst,1,1,-8960.836384065446,-8937.796221341923,4484.418192032723
2,ARCH,ConstantMean,skewstudent,1,1,-8925.519596276768,-8896.719392872366,4467.759798138384
3,ARCH,ConstantMean,normal,1,2,-8359.390279767278,-8342.110157724637,4182.695139883639
4,ARCH,ConstantMean,studentst,1,2,-8960.836384065446,-8937.796221341923,4484.418192032723
5,ARCH,ConstantMean,skewstudent,1,2,-8925.519596276768,-8896.719392872366,4467.759798138384
6,ARCH,ConstantMean,normal,1,3,-8359.390279767278,-8342.110157724637,4182.695139883639
7,ARCH,ConstantMean,studentst,1,3,-8960.836384065446,-8937.796221341923,4484.418192032723
8,ARCH,ConstantMean,skewstudent,1,3,-8925.519596276768,-8896.719392872366,4467.759798138384
9,ARCH,ConstantMean,normal,2,1,-8507.82301751459,-8484.782854791069,4257.911508757295
10,ARCH,ConstantMean,studentst,2,1,-5240.001865188776,-5211.201661784374,2625.000932594388
11,ARCH,ConstantMean,skewstudent,2,1,-9137.938141894396,-9103.377897809114,4574.969070947198
12,ARCH,ConstantMean,normal,2,2,-8507.82301751459,-8484.782854791069,4257.911508757295
13,ARCH,ConstantMean,studentst,2,2,-5240.001865188776,-5211.201661784374,2625.000932594388
14,ARCH,ConstantMean,skewstudent,2,2,-9137.938141894396,-9103.377897809114,4574.969070947198
15,ARCH,ConstantMean,normal,2,3,-8507.82301751459,-8484.782854791069,4257.911508757295
16,ARCH,ConstantMean,studentst,2,3,-5240.001865188776,-5211.201661784374,2625.000932594388
17,ARCH,ConstantMean,skewstudent,2,3,-9137.938141894396,-9103.377897809114,4574.969070947198
18,ARCH,ConstantMean,normal,3,1,-8571.074847220996,-8542.274643816594,4290.537423610498
19,ARCH,ConstantMean,studentst,3,1,-9115.420695683883,-9080.8604515986,4563.710347841941
20,ARCH,ConstantMean,skewstudent,3,1,1903914.6194942412,1903954.9397790073,-951950.3097471206
21,ARCH,ConstantMean,normal,3,2,-8571.074847220996,-8542.274643816594,4290.537423610498
22,ARCH,ConstantMean,studentst,3,2,-9115.420695683883,-9080.8604515986,4563.710347841941
23,ARCH,ConstantMean,skewstudent,3,2,1903914.6194942412,1903954.9397790073,-951950.3097471206
24,ARCH,ConstantMean,normal,3,3,-8571.074847220996,-8542.274643816594,4290.537423610498
25,ARCH,ConstantMean,studentst,3,3,-9115.420695683883,-9080.8604515986,4563.710347841941
26,ARCH,ConstantMean,skewstudent,3,3,1903914.6194942412,1903954.9397790073,-951950.3097471206
27,GARCH,ConstantMean,normal,1,1,-8767.735111190383,-8744.69494846686,4387.867555595191
28,GARCH,ConstantMean,studentst,1,1,-9336.247675147992,-9307.44747174359,4673.123837573996
29,GARCH,ConstantMean,skewstudent,1,1,-9334.265303149936,-9299.705059064654,4673.132651574968
30,GARCH,ConstantMean,normal,1,2,-8789.125156304633,-8760.324952900231,4399.562578152317
31,GARCH,ConstantMean,studentst,1,2,-9301.900486990015,-9267.340242904733,4656.950243495007
32,GARCH,ConstantMean,skewstudent,1,2,-9299.887547147988,-9259.567262381825,4656.943773573994
33,GARCH,ConstantMean,normal,1,3,-8750.728245459053,-8716.168001373771,4381.364122729527
34,GARCH,ConstantMean,studentst,1,3,-9237.693482656694,-9197.37319789053,4625.846741328347
35,GARCH,ConstantMean,skewstudent,1,3,-9235.693685976517,-9189.613360529474,4625.846842988259
36,GARCH,ConstantMean,normal,2,1,-8732.27176333625,-8703.471559931848,4371.135881668125
37,GARCH,ConstantMean,studentst,2,1,-9312.690990493382,-9278.1307464081,4662.345495246691
38,GARCH,ConstantMean,skewstudent,2,1,-9310.68988079797,-9270.369596031807,4662.344940398985
39,GARCH,ConstantMean,normal,2,2,-8741.934146474076,-8707.373902388794,4376.967073237038
40,GARCH,ConstantMean,studentst,2,2,-9235.007362136479,-9194.687077370316,4624.5036810682395
41,GARCH,ConstantMean,skewstudent,2,2,-9233.01511490687,-9186.934789459827,4624.507557453435
42,GARCH,ConstantMean,normal,2,3,-8746.069718999708,-8705.749434233545,4380.034859499854
43,GARCH,ConstantMean,studentst,2,3,-9228.762775581257,-9182.682450134214,4622.381387790629
44,GARCH,ConstantMean,skewstudent,2,3,-9226.761275878454,-9174.920909750532,4622.380637939227
45,GARCH,ConstantMean,normal,3,1,-8711.972250051662,-8677.41200596638,4361.986125025831
46,GARCH,ConstantMean,studentst,3,1,-9222.65912256504,-9182.338837798878,4618.32956128252
47,GARCH,ConstantMean,skewstudent,3,1,-9220.659185039016,-9174.578859591973,4618.329592519508
48,GARCH,ConstantMean,normal,3,2,-8727.924178596839,-8687.603893830676,4370.962089298419
49,GARCH,ConstantMean,studentst,3,2,-9219.949033096727,-9173.868707649684,4617.974516548364
50,GARCH,ConstantMean,skewstudent,3,2,-9217.94809094229,-9166.107724814367,4617.974045471145
51,GARCH,ConstantMean,normal,3,3,-8728.71727036807,-8682.636944921027,4372.358635184035
52,GARCH,ConstantMean,studentst,3,3,-9212.141067510818,-9160.300701382896,4615.070533755409
53,GARCH,ConstantMean,skewstudent,3,3,-9210.048470390666,-9152.448063581862,4615.024235195333
54,EGARCH,ConstantMean,normal,1,1,-8800.238790166004,-8777.198627442482,4404.119395083002
55,EGARCH,ConstantMean,studentst,1,1,-9504.194652305161,-9475.394448900759,4757.0973261525805
56,EGARCH,ConstantMean,skewstudent,1,1,-9510.880646116702,-9476.32040203142,4761.440323058351
57,EGARCH,ConstantMean,normal,1,2,-8806.6863345839,-8777.886131179497,4408.34316729195
58,EGARCH,ConstantMean,studentst,1,2,-9506.361482561464,-9471.801238476182,4759.180741280732
59,EGARCH,ConstantMean,skewstudent,1,2,-9513.028638655014,-9472.708353888851,4763.514319327507
60,EGARCH,ConstantMean,normal,1,3,-8802.678783218831,-8768.11853913355,4407.3393916094155
61,EGARCH,ConstantMean,studentst,1,3,-9504.57819529203,-9464.257910525866,4759.289097646015
62,EGARCH,ConstantMean,skewstudent,1,3,-9511.111494281002,-9465.031168833959,4763.555747140501
63,EGARCH,ConstantMean,normal,2,1,-8804.823922289179,-8776.023718884777,4407.411961144589
64,EGARCH,ConstantMean,studentst,2,1,-9506.607142090299,-9472.046898005017,4759.3035710451495
65,EGARCH,ConstantMean,skewstudent,2,1,-9513.053543948636,-9472.733259182472,4763.526771974318
66,EGARCH,ConstantMean,normal,2,2,-8806.247001004416,-8771.686756919134,4409.123500502208
67,EGARCH,ConstantMean,studentst,2,2,-9504.344565649993,-9464.02428088383,4759.172282824997
68,EGARCH,ConstantMean,skewstudent,2,2,26371.204978034988,26417.285303482033,-13177.602489017494
69,EGARCH,ConstantMean,normal,2,3,-8804.273404345195,-8763.953119579031,4409.136702172597
70,EGARCH,ConstantMean,studentst,2,3,25942.621177230867,25988.70150267791,-12963.310588615434
71,EGARCH,ConstantMean,skewstudent,2,3,237637.88310273443,237689.72346886236,-118809.94155136721
72,EGARCH,ConstantMean,normal,3,1,-8803.041016543091,-8768.48077245781,4407.520508271546
73,EGARCH,ConstantMean,studentst,3,1,-9504.607177972246,-9464.286893206083,4759.303588986123
74,EGARCH,ConstantMean,skewstudent,3,1,-9511.085330753875,-9465.005005306832,4763.542665376937
75,EGARCH,ConstantMean,normal,3,2,-8804.33066717781,-8764.010382411647,4409.165333588905
76,EGARCH,ConstantMean,studentst,3,2,21295.3053645716,21341.385690018644,-10639.6526822858
77,EGARCH,ConstantMean,skewstudent,3,2,19435.22143431101,19487.061800438933,-9708.610717155505
78,EGARCH,ConstantMean,normal,3,3,-8799.041016513671,-8752.960691066628,4407.5205082568355
79,EGARCH,ConstantMean,studentst,3,3,33970.59302738273,34022.433393510655,-16976.296513691366
80,EGARCH,ConstantMean,skewstudent,3,3,30857.400732450664,30915.001139259468,-15418.700366225332
