,volatility_model,mean_model,dist,p,q,AIC_score,BIC_score,LL_score
0,ARCH,ConstantMean,normal,1,1,-1868.0032152522804,-1853.8753022315054,937.0016076261402
1,ARCH,ConstantMean,studentst,1,1,-2074.715628257865,-2055.8784108968316,1041.3578141289324
2,ARCH,ConstantMean,skewstudent,1,1,-2073.2401316898313,-2049.6936099885397,1041.6200658449156
3,ARCH,ConstantMean,normal,1,2,-1868.0032152522804,-1853.8753022315054,937.0016076261402
4,ARCH,ConstantMean,studentst,1,2,-2074.715628257865,-2055.8784108968316,1041.3578141289324
5,ARCH,ConstantMean,skewstudent,1,2,-2073.2401316898313,-2049.6936099885397,1041.6200658449156
6,ARCH,ConstantMean,normal,1,3,-1868.0032152522804,-1853.8753022315054,937.0016076261402
7,ARCH,ConstantMean,studentst,1,3,-2074.715628257865,-2055.8784108968316,1041.3578141289324
8,ARCH,ConstantMean,skewstudent,1,3,-2073.2401316898313,-2049.6936099885397,1041.6200658449156
9,ARCH,ConstantMean,normal,2,1,-1884.0846582257768,-1865.2474408647436,946.0423291128884
10,ARCH,ConstantMean,studentst,2,1,-2089.5004946343774,-2065.953972933086,1049.7502473171887
11,ARCH,ConstantMean,skewstudent,2,1,-2088.002935254356,-2059.747109212806,1050.001467627178
12,ARCH,ConstantMean,normal,2,2,-1884.0846582257768,-1865.2474408647436,946.0423291128884
13,ARCH,ConstantMean,studentst,2,2,-2089.5004946343774,-2065.953972933086,1049.7502473171887
14,ARCH,ConstantMean,skewstudent,2,2,-2088.002935254356,-2059.747109212806,1050.001467627178
15,ARCH,ConstantMean,normal,2,3,-1884.0846582257768,-1865.2474408647436,946.0423291128884
16,ARCH,ConstantMean,studentst,2,3,-2089.5004946343774,-2065.953972933086,1049.7502473171887
17,ARCH,ConstantMean,skewstudent,2,3,-2088.002935254356,-2059.747109212806,1050.001467627178
18,ARCH,ConstantMean,normal,3,1,-1885.5359439519077,-1861.9894222506161,947.7679719759539
19,ARCH,ConstantMean,studentst,3,1,-2102.3405661287006,-2074.0847400871507,1057.1702830643503
20,ARCH,ConstantMean,skewstudent,3,1,-2101.1258970434533,-2068.160766661645,1057.5629485217266
21,ARCH,ConstantMean,normal,3,2,-1885.5359439519077,-1861.9894222506161,947.7679719759539
22,ARCH,ConstantMean,studentst,3,2,-2102.3405661287006,-2074.0847400871507,1057.1702830643503
23,ARCH,ConstantMean,skewstudent,3,2,-2101.1258970434533,-2068.160766661645,1057.5629485217266
24,ARCH,ConstantMean,normal,3,3,-1885.5359439519077,-1861.9894222506161,947.7679719759539
25,ARCH,ConstantMean,studentst,3,3,-2102.3405661287006,-2074.0847400871507,1057.1702830643503
26,ARCH,ConstantMean,skewstudent,3,3,-2101.1258970434533,-2068.160766661645,1057.5629485217266
27,GARCH,ConstantMean,normal,1,1,-1947.3201790455146,-1928.4829616844813,977.6600895227573
28,GARCH,ConstantMean,studentst,1,1,-2100.517102105191,-2076.9705804038995,1055.2585510525955
29,GARCH,ConstantMean,skewstudent,1,1,-2153.149974306167,-2124.8941482646173,1082.5749871530836
30,GARCH,ConstantMean,normal,1,2,-1946.6994054341676,-1923.152883732876,978.3497027170838
31,GARCH,ConstantMean,studentst,1,2,-2081.262556661988,-2053.0067306204382,1046.631278330994
32,GARCH,ConstantMean,skewstudent,1,2,-2079.2626982363004,-2046.2975678544922,1046.6313491181502
33,GARCH,ConstantMean,normal,1,3,-1947.1801008752395,-1918.9242748336897,979.5900504376198
34,GARCH,ConstantMean,studentst,1,3,-2145.385275467471,-2112.4201450856626,1079.6926377337354
35,GARCH,ConstantMean,skewstudent,1,3,-2065.153602188836,-2027.4791674667697,1040.576801094418
36,GARCH,ConstantMean,normal,2,1,-1946.5556350420104,-1923.0091133407188,978.2778175210052
37,GARCH,ConstantMean,studentst,2,1,-2097.24841771536,-2068.9925916738102,1054.62420885768
38,GARCH,ConstantMean,skewstudent,2,1,-2095.2482775367534,-2062.2831471549453,1054.6241387683767
39,GARCH,ConstantMean,normal,2,2,-1943.6634981592933,-1915.4076721177435,977.8317490796467
40,GARCH,ConstantMean,studentst,2,2,-2078.397783401173,-2045.4326530193648,1046.1988917005865
41,GARCH,ConstantMean,skewstudent,2,2,-2142.040425904484,-2104.3659911824175,1079.020212952242
42,GARCH,ConstantMean,normal,2,3,-1940.7194118036355,-1907.7542814218273,977.3597059018177
43,GARCH,ConstantMean,studentst,2,3,-2063.8360997207565,-2026.1616649986902,1039.9180498603782
44,GARCH,ConstantMean,skewstudent,2,3,-2061.887094068289,-2019.5033550059645,1039.9435470341446
45,GARCH,ConstantMean,normal,3,1,-1945.0051663291274,-1916.7493402875775,978.5025831645637
46,GARCH,ConstantMean,studentst,3,1,-2094.4043880115805,-2061.4392576297723,1054.2021940057903
47,GARCH,ConstantMean,skewstudent,3,1,-2092.4044958280374,-2054.730061105971,1054.2022479140187
48,GARCH,ConstantMean,normal,3,2,-1941.7850189641522,-1908.819888582344,977.8925094820761
49,GARCH,ConstantMean,studentst,3,2,-2075.103963974359,-2037.4295292522927,1045.5519819871795
50,GARCH,ConstantMean,skewstudent,3,2,-2073.104434500654,-2030.7206954383294,1045.552217250327
51,GARCH,ConstantMean,normal,3,3,-1939.3973468263907,-1901.7229121043245,977.6986734131954
52,GARCH,ConstantMean,studentst,3,3,-2148.553498341362,-2106.169759279037,1083.276749170681
53,GARCH,ConstantMean,skewstudent,3,3,-2058.9109045824257,-2011.8178611798428,1039.4554522912129
54,EGARCH,ConstantMean,normal,1,1,-1953.4552111358735,-1934.6179937748402,980.7276055679367
55,EGARCH,ConstantMean,studentst,1,1,-2162.1850198482616,-2138.63849814697,1086.0925099241308
56,EGARCH,ConstantMean,skewstudent,1,1,-2160.214984045684,-2131.959158004134,1086.107492022842
57,EGARCH,ConstantMean,normal,1,2,-1951.6951212101549,-1928.1485995088633,980.8475606050774
58,EGARCH,ConstantMean,studentst,1,2,-2160.18501959745,-2131.9291935559,1086.092509798725
59,EGARCH,ConstantMean,skewstudent,1,2,-2158.2149838795845,-2125.2498534977763,1086.1074919397922
60,EGARCH,ConstantMean,normal,1,3,-1954.1803906803798,-1925.92456463883,983.0901953401899
61,EGARCH,ConstantMean,studentst,1,3,-2158.185019908649,-2125.2198895268407,1086.0925099543244
62,EGARCH,ConstantMean,skewstudent,1,3,-2156.2149839218073,-2118.540549199741,1086.1074919609036
63,EGARCH,ConstantMean,normal,2,1,-1952.6483596014941,-1929.1018379002026,981.3241798007471
64,EGARCH,ConstantMean,studentst,2,1,-2160.2006954507583,-2131.9448694092084,1086.1003477253792
65,EGARCH,ConstantMean,skewstudent,2,1,-2158.2328731588004,-2125.2677427769922,1086.1164365794002
66,EGARCH,ConstantMean,normal,2,2,-1957.9910811706004,-1929.7352551290505,984.9955405853002
67,EGARCH,ConstantMean,studentst,2,2,-2161.629640197724,-2128.6645098159156,1087.814820098862
68,EGARCH,ConstantMean,skewstudent,2,2,-2159.6574990933054,-2121.983064371239,1087.8287495466527
69,EGARCH,ConstantMean,normal,2,3,-1952.1821149479338,-1919.2169845661256,983.0910574739669
70,EGARCH,ConstantMean,studentst,2,3,-2159.897991356514,-2122.2235566344475,1087.948995678257
71,EGARCH,ConstantMean,skewstudent,2,3,-2157.919761623494,-2115.5360225611694,1087.959880811747
72,EGARCH,ConstantMean,normal,3,1,-1968.7127301131093,-1940.4569040715594,990.3563650565546
73,EGARCH,ConstantMean,studentst,3,1,-2160.128399048191,-2127.163268666383,1087.0641995240956
