,volatility_model,mean_model,dist,p,q,AIC_score,BIC_score,LL_score
0,ARCH,ConstantMean,normal,1,1,-4109.856433598113,-4093.8889022961207,2057.9282167990564
1,ARCH,ConstantMean,studentst,1,1,-4469.625428560102,-4448.335386824112,2238.812714280051
2,ARCH,ConstantMean,skewstudent,1,1,-4471.195746520135,-4444.583194350148,2240.5978732600674
3,ARCH,ConstantMean,normal,1,2,-4109.856433598113,-4093.8889022961207,2057.9282167990564
4,ARCH,ConstantMean,studentst,1,2,-4469.625428560102,-4448.335386824112,2238.812714280051
5,ARCH,ConstantMean,skewstudent,1,2,-4471.195746520135,-4444.583194350148,2240.5978732600674
6,ARCH,ConstantMean,normal,1,3,-4109.856433598113,-4093.8889022961207,2057.9282167990564
7,ARCH,ConstantMean,studentst,1,3,-4469.625428560102,-4448.335386824112,2238.812714280051
8,ARCH,ConstantMean,skewstudent,1,3,-4471.195746520135,-4444.583194350148,2240.5978732600674
9,ARCH,ConstantMean,normal,2,1,-4207.918103711874,-4186.6280619758845,2107.959051855937
10,ARCH,ConstantMean,studentst,2,1,-4505.120259244927,-4478.50770707494,2257.5601296224636
11,ARCH,ConstantMean,skewstudent,2,1,11525.20812715839,11557.143189762375,-5756.604063579195
12,ARCH,ConstantMean,normal,2,2,-4207.918103711874,-4186.6280619758845,2107.959051855937
13,ARCH,ConstantMean,studentst,2,2,-4505.120259244927,-4478.50770707494,2257.5601296224636
14,ARCH,ConstantMean,skewstudent,2,2,11525.20812715839,11557.143189762375,-5756.604063579195
15,ARCH,ConstantMean,normal,2,3,-4207.918103711874,-4186.6280619758845,2107.959051855937
16,ARCH,ConstantMean,studentst,2,3,-4505.120259244927,-4478.50770707494,2257.5601296224636
17,ARCH,ConstantMean,skewstudent,2,3,11525.20812715839,11557.143189762375,-5756.604063579195
18,ARCH,ConstantMean,normal,3,1,-4246.817946041207,-4220.20539387122,2128.4089730206033
19,ARCH,ConstantMean,studentst,3,1,-4526.093867406449,-4494.158804802465,2269.0469337032246
20,ARCH,ConstantMean,skewstudent,3,1,-4528.29108899813,-4491.033515960148,2271.145544499065
21,ARCH,ConstantMean,normal,3,2,-4246.817946041207,-4220.20539387122,2128.4089730206033
22,ARCH,ConstantMean,studentst,3,2,-4526.093867406449,-4494.158804802465,2269.0469337032246
23,ARCH,ConstantMean,skewstudent,3,2,-4528.29108899813,-4491.033515960148,2271.145544499065
24,ARCH,ConstantMean,normal,3,3,-4246.817946041207,-4220.20539387122,2128.4089730206033
25,ARCH,ConstantMean,studentst,3,3,-4526.093867406449,-4494.158804802465,2269.0469337032246
26,ARCH,ConstantMean,skewstudent,3,3,-4528.29108899813,-4491.033515960148,2271.145544499065
27,GARCH,ConstantMean,normal,1,1,-4319.921839516288,-4298.631797780298,2163.960919758144
28,GARCH,ConstantMean,studentst,1,1,-4294.269738955119,-4267.657186785132,2152.1348694775593
