,volatility_model,mean_model,dist,p,q,AIC_score,BIC_score,LL_score
0,ARCH,ConstantMean,normal,1,1,-1969.838132339359,-1955.6450780379128,987.9190661696795
1,ARCH,ConstantMean,studentst,1,1,-2112.2585117013878,-2093.3344392994595,1060.1292558506939
2,ARCH,ConstantMean,skewstudent,1,1,-2111.004039420508,-2087.3489489180974,1060.502019710254
3,ARCH,ConstantMean,normal,1,2,-1969.838132339359,-1955.6450780379128,987.9190661696795
4,ARCH,ConstantMean,studentst,1,2,-2112.2585117013878,-2093.3344392994595,1060.1292558506939
5,ARCH,ConstantMean,skewstudent,1,2,-2111.004039420508,-2087.3489489180974,1060.502019710254
6,ARCH,ConstantMean,normal,1,3,-1969.838132339359,-1955.6450780379128,987.9190661696795
7,ARCH,ConstantMean,studentst,1,3,-2112.2585117013878,-2093.3344392994595,1060.1292558506939
8,ARCH,ConstantMean,skewstudent,1,3,-2111.004039420508,-2087.3489489180974,1060.502019710254
9,ARCH,ConstantMean,normal,2,1,-1988.205934429634,-1969.2818620277058,998.102967214817
10,ARCH,ConstantMean,studentst,2,1,-2127.9072822017743,-2104.2521916993637,1068.9536411008871
11,ARCH,ConstantMean,skewstudent,2,1,-2126.373298170347,-2097.9871895674546,1069.1866490851735
12,ARCH,ConstantMean,normal,2,2,-1988.205934429634,-1969.2818620277058,998.102967214817
13,ARCH,ConstantMean,studentst,2,2,-2127.9072822017743,-2104.2521916993637,1068.9536411008871
14,ARCH,ConstantMean,skewstudent,2,2,-2126.373298170347,-2097.9871895674546,1069.1866490851735
15,ARCH,ConstantMean,normal,2,3,-1988.205934429634,-1969.2818620277058,998.102967214817
16,ARCH,ConstantMean,studentst,2,3,-2127.9072822017743,-2104.2521916993637,1068.9536411008871
17,ARCH,ConstantMean,skewstudent,2,3,-2126.373298170347,-2097.9871895674546,1069.1866490851735
18,ARCH,ConstantMean,normal,3,1,-2045.228983675992,-2021.5738931735814,1027.614491837996
19,ARCH,ConstantMean,studentst,3,1,-2149.299578928103,-2120.9134703252107,1080.6497894640515
20,ARCH,ConstantMean,skewstudent,3,1,-2148.174106898187,-2115.0569801948122,1081.0870534490934
21,ARCH,ConstantMean,normal,3,2,-2045.228983675992,-2021.5738931735814,1027.614491837996
22,ARCH,ConstantMean,studentst,3,2,-2149.299578928103,-2120.9134703252107,1080.6497894640515
23,ARCH,ConstantMean,skewstudent,3,2,-2148.174106898187,-2115.0569801948122,1081.0870534490934
24,ARCH,ConstantMean,normal,3,3,-2045.228983675992,-2021.5738931735814,1027.614491837996
25,ARCH,ConstantMean,studentst,3,3,-2149.299578928103,-2120.9134703252107,1080.6497894640515
26,ARCH,ConstantMean,skewstudent,3,3,-2148.174106898187,-2115.0569801948122,1081.0870534490934
27,GARCH,ConstantMean,normal,1,1,-2110.9396735933587,-2092.0156011914305,1059.4698367966794
28,GARCH,ConstantMean,studentst,1,1,-2178.3087710358586,-2154.653680533448,1094.1543855179293
29,GARCH,ConstantMean,skewstudent,1,1,-2176.3090534404596,-2147.9229448375672,1094.1545267202298
30,GARCH,ConstantMean,normal,1,2,-2112.0721162493683,-2088.4170257469577,1061.0360581246841
31,GARCH,ConstantMean,studentst,1,2,-2178.0803323421214,-2149.694223739229,1095.0401661710607
32,GARCH,ConstantMean,skewstudent,1,2,-2170.001675439542,-2136.8845487361673,1092.000837719771
33,GARCH,ConstantMean,normal,1,3,-2107.5854963311094,-2079.199387728217,1059.7927481655547
34,GARCH,ConstantMean,studentst,1,3,-2164.5296004745496,-2131.412473771175,1089.2648002372748
35,GARCH,ConstantMean,skewstudent,1,3,-2162.5119496388606,-2124.663804835004,1089.2559748194303
36,GARCH,ConstantMean,normal,2,1,-2110.1999429221723,-2086.544852419762,1060.0999714610862
37,GARCH,ConstantMean,studentst,2,1,-2172.018315521974,-2143.6322069190815,1092.009157760987
38,GARCH,ConstantMean,skewstudent,2,1,-2169.975330412423,-2136.858203709048,1091.9876652062114
39,GARCH,ConstantMean,normal,2,2,-2102.636871038576,-2074.2507624356836,1057.318435519288
40,GARCH,ConstantMean,studentst,2,2,-2165.8505086555524,-2132.7333819521778,1089.9252543277762
41,GARCH,ConstantMean,skewstudent,2,2,-2163.8504313523085,-2126.002286548452,1089.9252156761543
42,GARCH,ConstantMean,normal,2,3,-2098.4828790494175,-2065.365752346043,1056.2414395247088
43,GARCH,ConstantMean,studentst,2,3,-2157.907934204078,-2120.0597894002217,1086.953967102039
44,GARCH,ConstantMean,skewstudent,2,3,-2156.4139494759625,-2113.8347865716237,1087.2069747379812
45,GARCH,ConstantMean,normal,3,1,-2108.1999425900144,-2079.813833987122,1060.0999712950072
46,GARCH,ConstantMean,studentst,3,1,-2191.080301967804,-2157.9631752644295,1102.540150983902
47,GARCH,ConstantMean,skewstudent,3,1,-2189.928671377133,-2152.0805265732765,1102.9643356885665
48,GARCH,ConstantMean,normal,3,2,-2097.5376793511587,-2064.420552647784,1055.7688396755793
49,GARCH,ConstantMean,studentst,3,2,-2191.555150807036,-2153.7070060031797,1103.777575403518
50,GARCH,ConstantMean,skewstudent,3,2,-2159.196498344067,-2116.6173354397283,1088.5982491720335
51,GARCH,ConstantMean,normal,3,3,-2110.6776752100586,-2072.829530406202,1063.3388376050293
52,GARCH,ConstantMean,studentst,3,3,-2190.9457864710985,-2148.3666235667597,1104.4728932355492
53,GARCH,ConstantMean,skewstudent,3,3,-2190.136212478286,-2142.8260314734653,1105.068106239143
54,EGARCH,ConstantMean,normal,1,1,-2114.592865201921,-2095.668792799993,1061.2964326009605
55,EGARCH,ConstantMean,studentst,1,1,-2200.285456273562,-2176.6303657711514,1105.142728136781
56,EGARCH,ConstantMean,skewstudent,1,1,-2198.938377230734,-2170.552268627842,1105.469188615367
57,EGARCH,ConstantMean,normal,1,2,-2116.6878492498654,-2093.032758747455,1063.3439246249327
58,EGARCH,ConstantMean,studentst,1,2,-2200.1780999025696,-2171.791991299677,1106.0890499512848
59,EGARCH,ConstantMean,skewstudent,1,2,-2198.965658155459,-2165.8485314520844,1106.4828290777295
60,EGARCH,ConstantMean,normal,1,3,-2115.1113852115004,-2086.725276608608,1063.5556926057502
61,EGARCH,ConstantMean,studentst,1,3,-2198.587502030661,-2165.4703753272865,1106.2937510153306
62,EGARCH,ConstantMean,skewstudent,1,3,-2197.456270118708,-2159.6081253148513,1106.728135059354
63,EGARCH,ConstantMean,normal,2,1,-2115.440728917497,-2091.7856384150864,1062.7203644587485
64,EGARCH,ConstantMean,studentst,2,1,-2199.7221427588775,-2171.336034155985,1105.8610713794387
65,EGARCH,ConstantMean,skewstudent,2,1,-2198.5027696773445,-2165.38564297397,1106.2513848386723
66,EGARCH,ConstantMean,normal,2,2,-2114.9298470552576,-2086.5437384523652,1063.4649235276288
67,EGARCH,ConstantMean,studentst,2,2,-2198.28216939953,-2165.1650426961555,1106.141084699765
68,EGARCH,ConstantMean,skewstudent,2,2,-2197.0852399210235,-2159.237095117167,1106.5426199605117
69,EGARCH,ConstantMean,normal,2,3,-2113.4529313421035,-2080.335804638729,1063.7264656710518
70,EGARCH,ConstantMean,studentst,2,3,-2197.695712971514,-2159.8475681676573,1106.847856485757
71,EGARCH,ConstantMean,skewstudent,2,3,-2196.5871943233224,-2154.0080314189836,1107.2935971616612
72,EGARCH,ConstantMean,normal,3,1,-2114.688232745225,-2086.3021241423326,1063.3441163726125
73,EGARCH,ConstantMean,studentst,3,1,-2198.316894897171,-2165.1997681937964,1106.1584474485855
74,EGARCH,ConstantMean,skewstudent,3,1,-2197.2125828438852,-2159.3644380400287,1106.6062914219426
